Date first added,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK,Founded
2008-08-27,CF,CF Industries,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",1324404,1946
2021-05-14,CRL,Charles River Laboratories,reports,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",1100682,1947
1997-06-02,SCHW,Charles Schwab,reports,Financials,Investment Banking & Brokerage,"Westlake, Texas",316709,1971
2016-09-08,CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",1091667,1993
1957-03-04,CVX,Chevron,reports,Energy,Integrated Oil & Gas,"San Ramon, California",93410,1879
2011-04-28,CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",1058090,1993
2010-07-15,CB,Chubb,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",896159,1985
2015-12-29,CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",313927,1847
1976-06-30,CI,Cigna,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",1739940,1982
1997-12-18,CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",20286,1950
2001-03-01,CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",723254,1929
1993-12-01,CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",858877,1984
1988-05-31,C,Citigroup,reports,Financials,Diversified Banks,"New York City, New York",831001,1998
2016-01-29,CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",759944,1828
1999-12-01,CTXS,Citrix Systems,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",877890,1989
1969-03-31,CLX,Clorox,reports,Consumer Staples,Household Products,"Oakland, California",21076,1913
2006-08-11,CME,CME Group,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",1156375,1848
1999-05-03,CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",811156,1886
1957-03-04,KO,Coca-Cola,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",21344,1886
2006-11-17,CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",1058290,1994
1957-03-04,CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York City, New York",21665,1806
2002-11-19,CMCSA,Comcast,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",1166691,1963
1995-12-01,CMA,Comerica,reports,Financials,Diversified Banks,"Dallas, Texas",28412,1849
1983-08-31,CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",23217,1919
1957-03-04,COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1163165,2002
2005-07-01,STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",16918,1945
2016-09-23,COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"San Ramon, California",711404,1958
2018-07-02,CPRT,Copart,reports,Industrials,Diversified Support Services,"Dallas, Texas",900075,1982
2019-06-03,CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",1755672,2019
1993-10-01,COST,Costco,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",909832,1976
2008-06-23,CTRA,Coterra,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",858470,2021 (1989)
2012-03-14,CCI,Crown Castle,reports,Real Estate,Specialized REITs,"Houston, Texas",1051470,1994
1967-09-30,CSX,CSX,reports,Industrials,Railroads,"Jacksonville, Florida",277948,1980
1965-03-31,CMI,Cummins,reports,Industrials,Industrial Machinery,"Columbus, Indiana",26172,1919
1957-03-04,CVS,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",64803,1996
2005-06-22,DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Arlington, Texas",882184,1978
2008-07-31,DVA,DaVita,reports,Health Care,Health Care Facilities,"Denver, Colorado",927066,1979
1957-03-04,DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",315189,1837
2013-09-11,DAL,Delta Air Lines,reports,Industrials,Airlines,"Atlanta, Georgia",27904,1929
2008-11-14,XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"Charlotte, North Carolina",818479,2016 (1969)
2000-08-30,DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",1090012,1971
2020-05-12,DXCM,DexCom,reports,Health Care,Health Care Equipment,"San Diego, California",1093557,1999
2018-12-03,FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",1539838,2007
2016-05-18,DLR,Digital Realty Trust,reports,Real Estate,Specialized REITs,"Austin, Texas",1297996,2004
2007-07-02,DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",1393612,1985
2010-03-01,DISCA,Discovery (Series A),reports,Communication Services,Broadcasting,"New York City, New York",1437107,1985
2014-08-07,DISCK,Discovery (Series C),reports,Communication Services,Broadcasting,"New York City, New York",1437107,1985
2017-03-13,DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",1001082,1980
2012-12-03,DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",29534,1939
2011-12-19,DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",935703,1986
2020-05-12,DPZ,Domino's Pizza,reports,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",1286681,1960
1985-10-31,DOV,Dover Corporation,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",29905,1955
2019-04-01,DOW,Dow,reports,Materials,Commodity Chemicals,"Midland, Michigan",1751788,2019
1957-03-04,DTE,DTE Energy,reports,Utilities,Multi-Utilities,"Detroit, Michigan",936340,1995
1976-06-30,DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",1326160,1904
2017-07-26,DRE,Duke Realty,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",783280,1972
2019-04-02,DD,DuPont,reports,Materials,Specialty Chemicals,"Wilmington, Delaware",1666700,2017
2017-04-04,DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",1688568,2017
1994-01-01,EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",915389,1920
2002-07-22,EBAY,eBay,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",1065088,1995
1989-01-31,ECL,Ecolab,reports,Materials,Specialty Chemicals,"Saint Paul, Minnesota",31462,1923
1957-03-04,EIX,Edison International,reports,Utilities,Electric Utilities,"Rosemead, California",827052,1886
2011-04-01,EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",1099800,1958
2002-07-22,EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",712515,1982
1965-03-31,EMR,Emerson Electric,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",32604,1890
2021-01-07,ENPH,Enphase Energy,reports,Information Technology,Electronic Components,"Fremont, California",1463101,2006
1957-03-04,ETR,Entergy,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",65984,1913
2000-11-02,EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",821189,1999
2021-12-14,EPAM,EPAM Systems,reports,Information Technology,IT Consulting & Other Services,"Newtown, Pennsylvania",1352010,1993
1997-06-19,EFX,Equifax,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",33185,1899
2015-03-20,EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",1101239,1998
2001-12-03,EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",906107,1969
2014-04-02,ESS,Essex Property Trust,reports,Real Estate,Residential REITs,"San Mateo, California",920522,1971
2006-01-05,EL,Estée Lauder Companies,reports,Consumer Staples,Personal Products,"New York City, New York",1001250,1946
2020-09-21,ETSY,Etsy,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"New York City, New York",1370637,2005
2018-06-05,EVRG,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",1711269,1909
2017-06-19,RE,Everest Re,reports,Financials,Reinsurance,"Hamilton, Bermuda",1095073,1973
1957-03-04,EXC,Exelon,reports,Utilities,Multi-Utilities,"Chicago, Illinois",1109357,2000
2007-10-02,EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1324424,1996
2007-10-10,EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",746515,1979
2016-01-19,EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",1289490,1977
1957-03-04,XOM,ExxonMobil,reports,Energy,Integrated Oil & Gas,"Irving, Texas",34088,1999
2010-12-20,FFIV,F5,reports,Information Technology,Communications Equipment,"Seattle, Washington",1048695,1996
2021-12-20,FDS,FactSet,reports,Financials,Financial Exchanges & Data,"Norwalk, Connecticut",1013237,1978
2008-09-15,FAST,Fastenal,reports,Industrials,Building Products,"Winona, Minnesota",815556,1967
2016-02-01,FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",34903,1962
1980-12-31,FDX,FedEx,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1048911,1971
2006-11-10,FIS,Fidelity National Information Services,reports,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",1136893,1968
2019-01-02,FRC,First Republic Bank,reports,Financials,Regional Banks,"San Francisco, California",1132979,1985
2001-04-02,FISV,Fiserv,reports,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",798354,1984
2018-06-20,FLT,Fleetcor,reports,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",1175454,2000
2009-08-19,FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",37785,1883
1957-03-04,F,Ford,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",37996,1903
2018-10-11,FTNT,Fortinet,reports,Information Technology,Systems Software,"Sunnyvale, California",1262039,2000
2016-07-01,FTV,Fortive,reports,Industrials,Industrial Machinery,"Everett, Washington",1659166,2016
2016-06-22,FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",1519751,2011 (1969)
2013-07-01,FOXA,Fox Corporation (Class A),reports,Communication Services,Movies & Entertainment,"New York City, New York",1754301,2019
2015-09-18,FOX,Fox Corporation (Class B),reports,Communication Services,Movies & Entertainment,"New York City, New York",1754301,2019
1986-08-31,GPS,Gap,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",39911,1969
2012-12-12,GRMN,Garmin,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",1121788,1989
2017-04-05,IT,Gartner,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",749251,1979
2021-03-22,GNRC,Generac Holdings,reports,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",1474735,1959
1957-03-04,GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",40533,1899
1969-03-31,GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",40704,1856
2013-06-06,GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",1467858,1908
1973-12-31,GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",40987,1925
2004-07-01,GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",882095,1987
1989-04-30,GL,Globe Life,reports,Financials,Life & Health Insurance,"McKinney, Texas",320335,1900
2016-04-25,GPN,Global Payments,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",1123360,2000
2002-07-22,GS,Goldman Sachs,reports,Financials,Investment Banking & Brokerage,"New York City, New York",886982,1869
1981-06-30,GWW,W. W. Grainger,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",277135,1927
1957-03-04,HAL,Halliburton,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",45012,1919
1957-03-04,HIG,The Hartford,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",874766,1810
1984-09-30,HAS,Hasbro,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",46080,1923
2015-01-27,HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",860730,1968
2008-03-31,PEAK,Healthpeak Properties,reports,Real Estate,Health Care REITs,"Long Beach, California",765880,1985
2015-03-17,HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",1000228,1932
1957-03-04,HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",47111,1894
1984-05-31,HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York City, New York",4447,1919
2015-11-02,HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",1645590,2015
2017-06-19,HLT,Hilton Worldwide,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",1585689,1919
2016-03-30,HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",859737,1985
1988-03-31,HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",354950,1978
1964-03-31,HON,Honeywell,reports,Industrials,Industrial Conglomerates,"Charlotte, North Carolina",773840,1906
2009-03-04,HRL,Hormel,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",48465,1891
2007-03-20,HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",1070750,1993
1964-03-31,HWM,Howmet Aerospace,reports,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",4281,2016
1974-12-31,HPQ,HP,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",47217,1939 (2015)
2018-01-03,HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",1501585,2011
2019-08-09,IEX,IDEX Corporation,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",832101,1988
2017-01-05,IDXX,Idexx Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",874716,1983
2017-06-02,INFO,IHS Markit,reports,Industrials,Research & Consulting Services,"London, England",1598014,1959
1986-02-28,ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",49826,1912
2015-11-19,ILMN,Illumina,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",1110803,1998
2017-02-28,INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",879169,1991
2020-03-03,IR,Ingersoll Rand,reports,Industrials,Industrial Machinery,"Davidson, North Carolina",1699150,1859
1976-12-31,INTC,Intel,reports,Information Technology,Semiconductors,"Santa Clara, California",50863,1968
2007-09-26,ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",1571949,2000
1957-03-04,IBM,IBM,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",51143,1911
1957-03-04,IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",51434,1898
1992-10-01,IPG,Interpublic Group,reports,Communication Services,Advertising,"New York City, New York",51644,1961 (1930)
1976-03-31,IFF,International Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York City, New York",51253,1958 (1889)
2000-12-05,INTU,Intuit,reports,Information Technology,Application Software,"Mountain View, California",896878,1983
2008-06-02,ISRG,Intuitive Surgical,reports,Health Care,Health Care Equipment,"Sunnyvale, California",1035267,1995
2008-08-21,IVZ,Invesco,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",914208,1935
2018-03-07,IPGP,IPG Photonics,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",1111928,1990
2017-08-29,IQV,IQVIA,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",1478242,1982
2009-01-06,IRM,Iron Mountain,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",1020569,1951
2018-11-13,JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",779152,1976
2007-10-26,J,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Dallas, Texas",52988,1947
2015-07-01,JBHT,J. B. Hunt,reports,Industrials,Trucking,"Lowell, Arkansas",728535,1961
2008-11-06,SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",91419,1897
1973-06-30,JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",200406,1886
2010-08-27,JCI,Johnson Controls,reports,Industrials,Building Products,"Cork, Ireland",833444,1885
1975-06-30,JPM,JPMorgan Chase,reports,Financials,Diversified Banks,"New York City, New York",19617,2000 (1799 / 1871)
2006-06-02,JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",1043604,1996
1989-09-11,K,Kellogg's,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",55067,1906
1994-03-01,KEY,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",91576,1825
2018-11-06,KEYS,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",1601046,2014
1957-03-04,KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",55785,1872
2006-04-04,KIM,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",879101,1958
2012-05-25,KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",1506307,1997
2015-07-06,KHC,Kraft Heinz,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",1637459,2015 (1869)
1957-03-04,KR,Kroger,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",56873,1883
2008-09-22,LHX,L3Harris Technologies,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",202058,2019 (1895)
2004-11-01,LH,LabCorp,reports,Health Care,Health Care Services,"Burlington, North Carolina",920148,1978
2012-06-29,LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",707549,1980
2018-12-03,LW,Lamb Weston,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",1679273,2016 (1950)
2019-10-03,LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",1300514,1988
2019-08-09,LDOS,Leidos,reports,Industrials,Diversified Support Services,"Reston, Virginia",1336920,1969
2005-10-04,LEN,Lennar,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",920760,1954
1970-12-31,LLY,Eli Lilly,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",59478,1876
1976-06-30,LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",59558,1905
1992-07-01,LIN,Linde,reports,Materials,Industrial Gases,"Guildford, England",1707925,1879
2019-12-23,LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",1335258,2010
2016-05-23,LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",1065696,1998
1984-07-31,LMT,Lockheed Martin,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",936468,1995
1984-02-29,LOW,Lowe's,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",60667,1904/1946/1959
1999-03-25,LUMN,Lumen Technologies,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",18926,1983 (1877)
2012-09-05,LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",1489393,2007
2004-02-23,MTB,M&T Bank,reports,Financials,Regional Banks,"Buffalo, New York",36270,1856
1991-05-01,MRO,Marathon Oil,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",101778,1887
2011-07-01,MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",1510295,2009 (1887)
2019-07-01,MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data,"New York City, New York",1278021,2000
1987-08-31,MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York City, New York",62709,1905
2014-07-02,MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",916076,1993
1981-06-30,MAS,Masco,reports,Industrials,Building Products,"Livonia, Michigan",62996,1929
2008-07-18,MA,Mastercard,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",1141391,1966
2021-09-20,MTCH,Match Group,reports,Communication Services,Interactive Media & Services,"Dallas, Texas",891103,1986
2003-03-20,MKC,McCormick & Company,reports,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",63754,1889
1970-06-30,MCD,McDonald's,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",63908,1940
1986-10-31,MDT,Medtronic,reports,Health Care,Health Care Equipment,"Dublin, Ireland",1613103,1949
1957-03-04,MRK,Merck,reports,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",310158,1891
2013-12-23,FB,Meta Platforms,reports,Communication Services,Interactive Media & Services,"Menlo Park, California",1326801,2004
2016-09-06,MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",1037646,1945
2017-07-26,MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",789570,1986
2007-09-07,MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",827054,1989
1994-09-27,MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",723125,1978
1994-06-01,MSFT,Microsoft,reports,Information Technology,Systems Software,"Redmond, Washington",789019,1975
2016-12-02,MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",912595,1977
2021-07-21,MRNA,Moderna,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",1682852,2010
2013-12-23,MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",851968,1878
1976-06-30,TAP,Molson Coors,reports,Consumer Staples,Brewers,"Chicago, Illinois",24545,"2005 (Molson 1786, Coors 1873)"
2012-10-02,MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1103982,2012
2021-02-12,MPWR,Monolithic Power Systems,reports,Information Technology,Semiconductors,"Kirkland, Washington",1280452,1997
2012-06-28,MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",865752,2012 (1935)
2011-09-26,MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",1285785,2004 (1865 / 1909)
2018-04-04,MSCI,MSCI,reports,Financials,Financial Exchanges & Data,"New York City, New York",1408198,1969
2008-10-22,NDAQ,Nasdaq,reports,Financials,Financial Exchanges & Data,"New York City, New York",1120193,1971
1999-06-25,NTAP,NetApp,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",1002047,1992
2010-12-20,NFLX,Netflix,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",1065280,1997
1989-04-30,NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",814453,1903
1969-06-30,NEM,Newmont,reports,Materials,Gold,"Denver, Colorado",1164727,1921
2013-08-01,NWSA,News Corp (Class A),reports,Communication Services,Publishing,"New York City, New York",1564708,2013 (1980)
2015-09-18,NWS,News Corp (Class B),reports,Communication Services,Publishing,"New York City, New York",1564708,2013 (1980)
1976-06-30,NEE,NextEra Energy,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",753308,1984 (1925)
