Date first added,Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,CIK,Founded
2017-07-26,RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",943819,1989
2000-12-05,RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",315213,1948
2018-10-01,ROL,Rollins,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",84839,1948
2009-12-23,ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",882835,1981
2009-12-21,ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Dublin, California",745732,1982
2014-12-05,RCL,Royal Caribbean Group,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",884887,1997
2008-09-15,CRM,Salesforce,reports,Information Technology,Application Software,"San Francisco, California",1108524,1999
2017-09-01,SBAC,SBA Communications,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",1034054,1989
1965-03-31,SLB,Schlumberger,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",87347,1926
2012-07-02,STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",1137789,1979
1957-03-04,SEE,Sealed Air,reports,Materials,Paper Packaging,"Charlotte, North Carolina",1012100,1960
2019-11-21,NOW,ServiceNow,reports,Information Technology,Systems Software,"Santa Clara, California",1373715,2003
1964-06-30,SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",89800,1866
2021-12-20,SBNY,Signature Bank,reports,Financials,Regional Banks,"New York City, New York",1288784,2001
2002-06-26,SPG,Simon Property Group,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",1063761,2003
2015-03-12,SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",4127,2002
1982-09-30,SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",91440,1920
2021-12-20,SEDG,SolarEdge,reports,Information Technology,Semiconductor Equipment,"Herzliya, Israel",1419612,2006
1957-03-04,SO,Southern Company,reports,Utilities,Electric Utilities,"Atlanta, Georgia",92122,1945
1994-07-01,LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",92380,1967
1982-09-30,SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",93556,1843
2019-12-23,STE,Steris,reports,Health Care,Health Care Equipment,"Dublin, Ireland",1757898,1985
2000-12-12,SYK,Stryker Corporation,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",310764,1941
2018-03-19,SIVB,SVB Financial,reports,Financials,Regional Banks,"Santa Clara, California",719739,1983
2015-11-18,SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",1601712,2003
2017-03-16,SNPS,Synopsys,reports,Information Technology,Application Software,"Mountain View, California",883241,1986
1986-12-31,SYY,Sysco,reports,Consumer Staples,Food Distributors,"Houston, Texas",96021,1969
2019-07-15,TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",1283699,1994
2018-03-19,TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York City, New York",946581,1993
1976-12-31,TGT,Target,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",27419,1902
2011-10-17,TEL,TE Connectivity,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",1385157,2007
2020-06-22,TDY,Teledyne Technologies,reports,Industrials,Aerospace & Defense,"Thousand Oaks, California",1094285,1960
2019-01-18,TFX,Teleflex,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",96943,1943
2020-09-21,TER,Teradyne,reports,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",97210,1960
2020-12-21,TSLA,Tesla,reports,Consumer Discretionary,Automobile Manufacturers,"Palo Alto, California",1318605,2003
1978-12-31,TXT,Textron,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",217346,1923
2004-08-03,TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",97745,2006 (1902)
1985-09-30,TJX,TJX Companies,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",109198,1987
2014-01-24,TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",916365,1938
2010-11-17,TT,Trane Technologies,reports,Industrials,Building Products,"Dublin, Ireland",1466258,1871
2016-06-03,TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",1260221,1993
2002-08-21,TRV,The Travelers Companies,reports,Financials,Property & Casualty Insurance,"New York City, New York",86312,1853
2021-01-21,TRMB,Trimble,reports,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",864749,1978
1997-12-04,TFC,Truist Financial,reports,Financials,Regional Banks,"Charlotte, North Carolina",92230,1872
2018-06-07,TWTR,Twitter,reports,Communication Services,Interactive Media & Services,"San Francisco, California",1418091,2006
2020-06-22,TYL,Tyler Technologies,reports,Information Technology,Application Software,"Plano, Texas",860731,1966
2005-08-10,TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",100493,1935
2016-03-07,UDR,UDR,reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",74208,1972
2016-04-18,ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",1403568,1990
2014-05-01,UAA,Under Armour (Class A),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1336917,1996
2016-04-08,UA,Under Armour (Class C),reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",1336917,1996
1957-03-04,UNP,Union Pacific,reports,Industrials,Railroads,"Omaha, Nebraska",100885,1862
2015-09-03,UAL,United Airlines,reports,Industrials,Airlines,"Chicago, Illinois",100517,1967
1994-07-01,UNH,UnitedHealth Group,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",731766,1977
2002-07-22,UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Sandy Springs, Georgia",1090727,1907
2014-09-20,URI,United Rentals,reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",1067701,1997
2014-09-20,UHS,Universal Health Services,reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",352915,1979
2009-03-04,VTR,Ventas,reports,Real Estate,Health Care REITs,"Chicago, Illinois",740260,1998
2006-02-01,VRSN,Verisign,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",1014473,1995
2015-10-08,VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",1442145,1971
1983-11-30,VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,"New York City, New York",732712,1983 (1877)
2013-09-23,VRTX,Vertex Pharmaceuticals,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",875320,1989
1979-06-30,VFC,VF Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Denver, Colorado",103379,1899
2004-04-23,VTRS,Viatris,reports,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",1792044,1961
2009-12-21,V,Visa,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",1403161,1958
1999-06-30,VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",1396009,1909
2019-12-05,WRB,W. R. Berkley Corporation,reports,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",11544,1967
2019-02-27,WAB,Wabtec,reports,Industrials,Construction Machinery & Heavy Trucks,"Pittsburgh, Pennsylvania",943452,1999 (1869)
1982-08-31,WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",104169,1962
